#PAMELA(0000/00)
1.110000 42.670100 1.777920 
1.280000 55.994000 2.348810 
1.470000 73.060000 3.176520 
1.680000 89.142700 3.817010 
1.930000 108.052000 4.349380 
2.220000 130.636000 5.525230 
2.550000 148.735000 6.632550 
2.920000 166.064000 7.344640 
3.360000 180.561000 7.586610 
3.850000 194.027000 5.706660 
4.420000 198.607000 8.635090 
5.100000 206.936000 9.285570 
5.800000 206.819000 9.755600 
6.700000 216.549000 9.323650 
7.700000 214.571000 9.587190 
8.800000 211.256000 7.496190 
10.100000 196.787000 9.272710 
11.600000 196.673000 7.804480 
13.400000 190.082000 8.661970 
15.300000 186.242000 7.879470 
17.600000 177.728000 7.087310 
20.200000 171.442000 9.066650 
23.200000 157.338000 7.492300 
26.600000 167.508000 9.410550 
30.600000 148.994000 8.022730 
35.100000 160.001000 12.108200 
40.300000 143.992000 8.508610 
46.300000 138.954000 11.910300 
53.200000 156.592000 13.551200 
61.000000 124.840000 12.257000 
70.100000 141.234000 15.501200 
80.500000 109.549000 16.171500 
92.400000 118.333000 16.566700 
108.500000 127.729000 25.801200 
130.400000 155.214000 23.060400 
163.800000 118.660000 22.413600 
220.700000 103.200000 30.314900 
317.900000 89.955900 38.552500 
491.400000 106.794000 78.197100
#AMS02pre(0000/00)
1.0986261003	23.268398268	2.1645021645
1.3161468049	36.435786435	2.4350649350
1.5630987432	51.406926406	2.1645021645
1.8245633281	67.640692640	2.1645021645
2.1113052236	86.219336219	2.4350649350
2.4221921544	104.07647907	2.4350649349
2.7551151897	120.67099567	2.1645021645
3.1069074292	137.08513708	2.4350649349
3.4735555583	153.31890331	2.4350649349
3.8836895457	167.92929292	2.4350649354
4.3051507115	181.27705627	2.1645021645
4.7315758977	193.36219336	2.4350649349
5.2005620740	203.64357864	2.4350649349
5.6672681186	212.30158730	1.8939393940
6.2295412358	220.05772005	2.1645021644
6.7899411856	222.94372294	2.1645021644
7.4010301476	224.74747474	1.8939393940
8.0673675843	225.64935064	2.1645021645
8.7188926221	224.20634920	2.4350649354
9.5053005875	220.77922077	2.1645021645
10.273017799	219.15584415	2.1645021644
11.007472520	217.35209235	2.1645021644
11.795830463	212.12121212	2.1645021645
12.638291461	212.30158730	2.4350649349
13.659136786	210.49783549	2.1645021644
14.637134357	205.80808080	1.8939393940
15.416557928	201.83982683	2.1645021644
16.518845486	199.85569985	2.4350649349
17.700167115	197.51082251	2.1645021645
18.804749649	192.64069264	2.1645021645
19.805604693	189.39393939	2.1645021644
21.040661050	185.78643578	2.4350649349
22.160794943	182.17893217	2.1645021645
23.541253627	180.37518037	2.4350649349
25.008794208	177.30880230	2.1645021645
26.342636656	170.99567099	2.1645021644
27.741577410	170.99567099	2.1645021644
29.468578673	170.27417027	2.4350649350
30.774320080	163.41991341	2.1645021644
32.599383596	160.17316017	2.1645021645
34.430645238	158.91053391	2.4350649349
36.265421934	153.86002886	2.4350649349
38.521381719	154.40115440	2.4350649349
41.396114291	151.51515151	2.1645021645
45.003884016	145.56277056	2.1645021645
48.634185666	146.64502164	2.1645021645
52.576628466	137.08513708	2.4350649349
56.811786495	141.23376623	2.1645021644
61.410253535	134.92063492	2.4350649349
65.792094469	136.90476190	2.1645021645
71.119217044	129.87012987	3.7878787880
76.863322297	128.24675324	3.7878787879
82.354968573	127.70562770	3.7878787880
89.012647070	124.09812409	4.0584415584
96.187591114	126.80375180	4.5995671000
106.66642468	129.14862914	3.7878787879
122.47422750	123.01587301	4.0584415585
140.63347310	115.07936507	4.5995670995
164.26088479	113.09523809	4.8701298699
202.02270449	114.53823953	5.1406926410
252.88261757	105.15873015	6.7640692641
308.24338541	116.34199134	8.6580086580
409.96679945	99.025974026	8.6580086580
#AMS02pre-enlarge(0000/00)
1.0986261003 	 23.268398268 	 2.1645
1.3161468049 	 36.435786435 	 2.43506
1.5630987432 	 51.406926406 	 2.1645
1.8245633281 	 67.640692640 	 2.70563
2.1113052236 	 86.219336219 	 3.44877
2.4221921544 	 104.07647907 	 4.16306
2.7551151897 	 120.67099567 	 4.82684
3.1069074292 	 137.08513708 	 5.48341
3.4735555583 	 153.31890331 	 6.13276
3.8836895457 	 167.92929292 	 6.71717
4.3051507115 	 181.27705627 	 7.25108
4.7315758977 	 193.36219336 	 7.73449
5.2005620740 	 203.64357864 	 8.14574
5.6672681186 	 212.30158730 	 8.49206
6.2295412358 	 220.05772005 	 8.80231
6.7899411856 	 222.94372294 	 8.91775
7.4010301476 	 224.74747474 	 8.9899
8.0673675843 	 225.64935064 	 9.02597
8.7188926221 	 224.20634920 	 8.96825
9.5053005875 	 220.77922077 	 8.83117
10.273017799 	 219.15584415 	 8.76623
11.007472520 	 217.35209235 	 8.69408
11.795830463 	 212.12121212 	 8.48485
12.638291461 	 212.30158730 	 8.49206
13.659136786 	 210.49783549 	 8.41991
14.637134357 	 205.80808080 	 8.23232
15.416557928 	 201.83982683 	 8.07359
16.518845486 	 199.85569985 	 7.99423
17.700167115 	 197.51082251 	 7.90043
18.804749649 	 192.64069264 	 7.70563
19.805604693 	 189.39393939 	 7.57576
21.040661050 	 185.78643578 	 7.43146
22.160794943 	 182.17893217 	 7.28716
23.541253627 	 180.37518037 	 7.21501
25.008794208 	 177.30880230 	 7.09235
26.342636656 	 170.99567099 	 6.83983
27.741577410 	 170.99567099 	 6.83983
29.468578673 	 170.27417027 	 6.81097
30.774320080 	 163.41991341 	 6.5368
32.599383596 	 160.17316017 	 6.40693
34.430645238 	 158.91053391 	 6.35642
36.265421934 	 153.86002886 	 6.1544
