0.010091 6.843750
0.010783 7.146899
0.011273 7.626986
0.012047 8.139322
0.012874 8.686074
0.014066 9.472630
0.015368 10.330412
0.016424 11.024349
0.017944 12.022644
0.018757 12.555197
0.020045 13.398582
0.021419 13.992082
0.023402 15.259117
0.025566 16.284135
0.027933 17.758724
0.030523 19.791130
0.034096 22.056135
0.038935 24.580360
0.044466 27.993605
0.051908 31.197346
0.060603 35.529430
0.067689 38.746751
0.075597 41.349531
0.084428 44.127150
0.092235 47.091354
0.105316 51.355651
0.115043 53.630490
0.128456 54.805422
0.143447 57.233072
0.167404 59.768257
0.191085 61.077655
0.222930 59.768257
0.254413 58.486930
0.303423 57.233072
0.346238 54.805422
0.378101 53.630490
0.431409 50.254675
0.514303 45.093884
0.586752 41.349531
0.654887 38.746751
0.715005 36.307805
0.797867 32.579257
0.870930 29.233604
0.971762 25.669166
1.037738 23.537737
1.132766 21.120582
1.236239 18.147781
1.349304 15.935032
1.409511 14.611873
1.538423 12.830255
1.642531 11.265869
1.792755 9.892228
1.955907 7.964829
2.088267 6.993682
2.279258 6.140946
2.541557 4.734718
2.654413 4.157416
2.833749 3.572245
3.025201 3.069438
3.229589 2.637403
3.524232 2.217596
3.680340 1.905461
4.015690 1.567812
4.381597 1.289996
4.886343 1.016386
5.102258 0.854604
5.567172 0.703168
6.207206 0.530525
6.772100 0.427158
7.387636 0.336557
8.059120 0.265173
8.986574 0.204451
9.591731 0.168222
